,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,1
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,0
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,4
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,2
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,0
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,6
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,0
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,0
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,5
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,1
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,0
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,4
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,6
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0
35,0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,1
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,1
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,0
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,5
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,0
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,7
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,5
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,0
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,2
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,7
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,0
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,2
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,0
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,0
83,0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,0
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,4
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0
92,0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,1
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,3
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,1
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,1
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,0
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,0
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,2
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,0
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
110,0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,0
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,1
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,6
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,1
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True,0
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True,0
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False,1
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False,1
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True,0
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True,0
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False,2
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False,4
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False,2
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True,0
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True,0
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False,2
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False,1
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False,1
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,5
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False,2
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False,5
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True,0
170,0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True,0
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,5
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False,2
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True,0
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False,2
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True,0
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False,6
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False,3
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False,2
187,1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True,0
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False,1
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,2
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False,1
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True,0
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False,1
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False,1
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False,1
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True,0
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True,0
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,Southampton,no,True,0
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,Southampton,no,False,1
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,Southampton,no,True,0
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,Southampton,no,True,0
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,Southampton,yes,False,2
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,Southampton,no,False,1
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,Southampton,no,False,2
252,0,1,male,62.0,0,0,26.55,S,First,man,True,Southampton,no,True,0
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,Southampton,no,False,1
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,40.0,0,0,0.0,S,First,man,True,Southampton,no,True,0
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,Southampton,no,False,5
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,Southampton,yes,False,1
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,37.0,0,1,29.7,C,First,man,True,Cherbourg,no,False,1
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,Southampton,no,True,0
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,0
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,0
302,0,3,male,19.0,0,0,0.0,S,Third,man,True,Southampton,no,True,0
308,0,2,male,30.0,1,0,24.0,C,Second,man,True,Cherbourg,no,False,1
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,Cherbourg,yes,True,0
312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,Southampton,no,False,2
313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
314,0,2,male,43.0,1,1,26.25,S,Second,man,True,Southampton,no,False,2
315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,Southampton,no,True,0
320,0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,0
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,Southampton,yes,False,2
326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,Southampton,no,True,0
327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,Southampton,yes,False,2
329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,Cherbourg,yes,False,1
331,0,1,male,45.5,0,0,28.5,S,First,man,True,Southampton,no,True,0
333,0,3,male,16.0,2,0,18.0,S,Third,man,True,Southampton,no,False,2
338,1,3,male,45.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0
339,0,1,male,45.0,0,0,35.5,S,First,man,True,Southampton,no,True,0
340,1,2,male,2.0,1,1,26.0,S,Second,child,False,Southampton,yes,False,2
342,0,2,male,28.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
343,0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
344,0,2,male,36.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
345,1,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
346,1,2,female,40.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
348,1,3,male,3.0,1,1,15.9,S,Third,child,False,Southampton,yes,False,2
349,0,3,male,42.0,0,0,8.6625,S,Third,man,True,Southampton,no,True,0
350,0,3,male,23.0,0,0,9.225,S,Third,man,True,Southampton,no,True,0
352,0,3,male,15.0,1,1,7.2292,C,Third,child,False,Cherbourg,no,False,2
353,0,3,male,25.0,1,0,17.8,S,Third,man,True,Southampton,no,False,1
355,0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0
356,1,1,female,22.0,0,1,55.0,S,First,woman,False,Southampton,yes,False,1
357,0,2,female,38.0,0,0,13.0,S,Second,woman,False,Southampton,no,True,0
360,0,3,male,40.0,1,4,27.9,S,Third,man,True,Southampton,no,False,5
361,0,2,male,29.0,1,0,27.7208,C,Second,man,True,Cherbourg,no,False,1
362,0,3,female,45.0,0,1,14.4542,C,Third,woman,False,Cherbourg,no,False,1
363,0,3,male,35.0,0,0,7.05,S,Third,man,True,Southampton,no,True,0
365,0,3,male,30.0,0,0,7.25,S,Third,man,True,Southampton,no,True,0
370,1,1,male,25.0,1,0,55.4417,C,First,man,True,Cherbourg,yes,False,1
371,0,3,male,18.0,1,0,6.4958,S,Third,man,True,Southampton,no,False,1
372,0,3,male,19.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
374,0,3,female,3.0,3,1,21.075,S,Third,child,False,Southampton,no,False,4
376,1,3,female,22.0,0,0,7.25,S,Third,woman,False,Southampton,yes,True,0
378,0,3,male,20.0,0,0,4.0125,C,Third,man,True,Cherbourg,no,True,0
379,0,3,male,19.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
381,1,3,female,1.0,0,2,15.7417,C,Third,child,False,Cherbourg,yes,False,2
382,0,3,male,32.0,0,0,7.925,S,Third,man,True,Southampton,no,True,0
383,1,1,female,35.0,1,0,52.0,S,First,woman,False,Southampton,yes,False,1
386,0,3,male,1.0,5,2,46.9,S,Third,child,False,Southampton,no,False,7
387,1,2,female,36.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
389,1,2,female,17.0,0,0,12.0,C,Second,woman,False,Cherbourg,yes,True,0
391,1,3,male,21.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True,0
392,0,3,male,28.0,2,0,7.925,S,Third,man,True,Southampton,no,False,2
394,1,3,female,24.0,0,2,16.7,S,Third,woman,False,Southampton,yes,False,2
395,0,3,male,22.0,0,0,7.7958,S,Third,man,True,Southampton,no,True,0
396,0,3,female,31.0,0,0,7.8542,S,Third,woman,False,Southampton,no,True,0
397,0,2,male,46.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0
398,0,2,male,23.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
399,1,2,female,28.0,0,0,12.65,S,Second,woman,False,Southampton,yes,True,0
400,1,3,male,39.0,0,0,7.925,S,Third,man,True,Southampton,yes,True,0
401,0,3,male,26.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0
402,0,3,female,21.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,1
403,0,3,male,28.0,1,0,15.85,S,Third,man,True,Southampton,no,False,1
404,0,3,female,20.0,0,0,8.6625,S,Third,woman,False,Southampton,no,True,0
405,0,2,male,34.0,1,0,21.0,S,Second,man,True,Southampton,no,False,1
406,0,3,male,51.0,0,0,7.75,S,Third,man,True,Southampton,no,True,0
407,1,2,male,3.0,1,1,18.75,S,Second,child,False,Southampton,yes,False,2
408,0,3,male,21.0,0,0,7.775,S,Third,man,True,Southampton,no,True,0
414,1,3,male,44.0,0,0,7.925,S,Third,man,True,Southampton,yes,True,0
416,1,2,female,34.0,1,1,32.5,S,Second,woman,False,Southampton,yes,False,2
417,1,2,female,18.0,0,2,13.0,S,Second,woman,False,Southampton,yes,False,2
418,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True,0
419,0,3,female,10.0,0,2,24.15,S,Third,child,False,Southampton,no,False,2
421,0,3,male,21.0,0,0,7.7333,Q,Third,man,True,Queenstown,no,True,0
422,0,3,male,29.0,0,0,7.875,S,Third,man,True,Southampton,no,True,0
423,0,3,female,28.0,1,1,14.4,S,Third,woman,False,Southampton,no,False,2
424,0,3,male,18.0,1,1,20.2125,S,Third,man,True,Southampton,no,False,2
426,1,2,female,28.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
427,1,2,female,19.0,0,0,26.0,S,Second,woman,False,Southampton,yes,True,0
429,1,3,male,32.0,0,0,8.05,S,Third,man,True,Southampton,yes,True,0
430,1,1,male,28.0,0,0,26.55,S,First,man,True,Southampton,yes,True,0
432,1,2,female,42.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1
433,0,3,male,17.0,0,0,7.125,S,Third,man,True,Southampton,no,True,0
434,0,1,male,50.0,1,0,55.9,S,First,man,True,Southampton,no,False,1
436,0,3,female,21.0,2,2,34.375,S,Third,woman,False,Southampton,no,False,4
437,1,2,female,24.0,2,3,18.75,S,Second,woman,False,Southampton,yes,False,5
439,0,2,male,31.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0
440,1,2,female,45.0,1,1,26.25,S,Second,woman,False,Southampton,yes,False,2
441,0,3,male,20.0,0,0,9.5,S,Third,man,True,Southampton,no,True,0
442,0,3,male,25.0,1,0,7.775,S,Third,man,True,Southampton,no,False,1
443,1,2,female,28.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True,0
